variant,changed,dice,iou,hd95,boundary_f1,ece,ause,delta_dice,delta_iou,delta_boundary_f1
full,(none),0.7863633854537284,0.6711725867199096,6.785991460212459,0.5953555965098573,0.0625108330960696,0.1550532805309494,0.0,0.0,0.0
no_dissonance_temper,semi.temperature=1.0,0.7799304599278197,0.6645309975304557,6.939426713213864,0.5889021653303733,0.06757098217339566,0.1501811877108108,-0.0064,-0.0066,-0.0065
no_vacuity_gate,semi.use_vacuity_gate=false,0.7852798193817805,0.6694067920683876,6.838191753439635,0.5970959316958347,0.06264920029672795,0.15446287458873711,-0.0011,-0.0018,0.0017
no_kl,loss.kl_weight=0.0,0.7813336861303536,0.6646429472576965,6.917158919885029,0.5826845828356665,0.06171140742381489,0.159950601119345,-0.005,-0.0065,-0.0127
no_axial,model.axial_attention=false,0.7748039157536473,0.6598125896169947,7.3824190446307965,0.5732029542661614,0.06580771437826718,0.1729425286505497,-0.0116,-0.0114,-0.0222
gate_without_evidential_loss,loss.supervised=ce_dice,0.7757842742215094,0.6570043061628221,6.879473230306036,0.5660360660548792,0.02793466149635304,0.1884992386631367,-0.0106,-0.0142,-0.0293
