seed,dice,iou,boundary_f1,hd95,ece
1337,0.7863633854537284,0.6711725867199096,0.5953555965098573,6.785991460212459,0.0625108330960696
2024,0.765277548300807,0.6431423987872914,0.5236665385963699,7.641272860644679,0.06557364466056846
7,0.789507331448951,0.681832004334559,0.6354081939212088,6.742340573384877,0.06539327268440197
