run,dice,iou,hd95,assd,boundary_f1,ece,ause,params_m,gmacs,dice_std,dice_n,iou_std,iou_n,sensitivity,sensitivity_std,sensitivity_n,specificity,specificity_std,specificity_n,precision,precision_std,precision_n,accuracy,accuracy_std,accuracy_n,hd95_std,hd95_n,assd_std,assd_n,boundary_f1_std,boundary_f1_n,mce,ace,brier,nll,unc_error_auroc,mean_confidence,pixel_accuracy,latency_ms,method,head,model,labeled_fraction,n_labeled,best_val_dice,best_epoch
supervised_baseline,0.7519179096347166,0.6340324166458551,7.609864962488822,3.034870708724014,0.5525448383847936,0.03608087576498899,0.15699767159932648,0.2485,0.0416,0.18893698345096374,150,0.2134520787306413,150,0.826577795255719,0.20541819144427564,150,0.9547064340270557,0.03774243664992239,150,0.7388460605753464,0.22793140138379356,150,0.9279817708333333,0.04684964705485993,150,5.268340525257605,150,2.0852096684306107,150,0.2693383763667798,150,0.176598833494228,0.03608088811238608,0.05640653148293495,0.20324382613665792,0.8879214657793748,0.9640626907348633,0.9279817708333333,43.114,none,ce_dice,separable_unet,0.1,60,0.7223,15
mean_teacher,0.7747915325970582,0.6567509414263291,6.839127754294321,2.7808212759346067,0.5729254288321588,0.02461825076587651,0.13695010728088902,0.2485,0.0416,0.15825121124335298,150,0.19206635903271405,150,0.846733683943544,0.17130224005841754,150,0.9590942647242844,0.032723198422609664,150,0.759503725292275,0.20755713874242732,150,0.933662109375,0.043332962303037105,150,4.455972886822794,150,1.775224623689973,150,0.2646230246914728,150,0.10695011754979122,0.024618255297342923,0.05051632598042488,0.17690520608347562,0.8982614352005187,0.9582803249359131,0.933662109375,39.728,mean_teacher,ce_dice,separable_unet,0.1,60,0.7419,16
fixmatch,0.7754536310161376,0.6575108570014897,6.702125210141466,2.7491857599699143,0.5763800234672342,0.03090875212074025,0.12261699926615055,0.2485,0.0416,0.15869680519489626,150,0.19068100442482566,150,0.8386675656780501,0.1746912422796708,150,0.9613793472082147,0.031443304526408804,150,0.7669287480749715,0.20734428759160653,150,0.9341682942708334,0.043159236142116635,150,4.313624431680065,150,1.751931155773226,150,0.26570444156195183,150,0.15580272672088868,0.03093124866485596,0.051054928451776505,0.18089608349498523,0.9055661201812153,0.9650769829750061,0.9341682942708334,22.439,fixmatch,ce_dice,separable_unet,0.1,60,0.7359,18
evidential,0.7863633854537284,0.6711725867199096,6.785991460212459,2.6850257936831032,0.5953555965098573,0.0625108330960696,0.1550532805309494,0.2485,0.0416,0.15254284898415998,150,0.18790851427222735,150,0.8535102906226975,0.1541936847831311,150,0.9587113184331535,0.03512502185716074,150,0.7713829860221921,0.20167745890281863,150,0.9351350911458334,0.04420263756423754,150,4.42615211991397,150,1.8132807773651463,150,0.2650538729416571,150,0.07698828057658547,0.06251770655314126,0.05223913863301277,0.2076476951669247,0.8920613951803443,0.8893160223960876,0.9351350911458334,26.649,evidential,evidential,separable_unet,0.1,60,0.7389,19
