variant,changed,dice,iou,hd95,boundary_f1,ece,ause,delta_dice,delta_iou,delta_boundary_f1
full,(none),0.7513688880215057,0.6250243681776686,7.838939317725838,0.5019431816310993,0.08720960672294803,0.15355017174911226,0.0,0.0,0.0
no_dissonance_temper,semi.temperature=1.0,0.7587864654620723,0.6350845586574545,7.735472682754262,0.5144740928816177,0.09326474245113789,0.1411967713109922,0.0074,0.0101,0.0125
no_vacuity_gate,semi.use_vacuity_gate=false,0.7519831349834845,0.6260520583548232,7.741160254092576,0.5030131256968868,0.08624468437745236,0.15630730323553432,0.0006,0.001,0.0011
no_kl,loss.kl_weight=0.0,0.7610848939022367,0.6371025731492567,7.438132457693919,0.513632150577728,0.08830253446018713,0.14238764631198117,0.0097,0.0121,0.0117
no_axial,model.axial_attention=false,0.7515558746066694,0.6265953203127391,7.8888261161876105,0.5104117592854442,0.09033229531458344,0.17506776892676348,0.0002,0.0016,0.0085
gate_without_evidential_loss,loss.supervised=ce_dice,0.7501944805014477,0.6215400206502876,7.394361718356522,0.49409430445686153,0.04115810073300962,0.20497583599488264,-0.0012,-0.0035,-0.0078
