run,image_index,dice,iou,sensitivity,specificity,precision,accuracy,hd95,assd,boundary_f1
ablation_no_vacuity_gate,0,0.629086809470124,0.4588815789473684,1.0,0.9138066544406602,0.4588815789473684,0.919677734375,10.0,4.289474319125146,0.41134751773049644
ablation_no_vacuity_gate,1,0.8391038696537678,0.7228070175438597,1.0,0.9796915167095116,0.7228070175438597,0.980712890625,3.0,1.3896483395690211,0.8313194780086999
ablation_no_vacuity_gate,2,0.6411960132890365,0.4718826405867971,1.0,0.9446579554189085,0.4718826405867971,0.947265625,9.433981132056603,3.350730606313471,0.2644628099173554
ablation_no_vacuity_gate,3,0.8401400233372228,0.7243460764587525,0.8071748878923767,0.9681647940074907,0.8759124087591241,0.93310546875,10.652075586807396,2.81509868735699,0.6957502820609252
ablation_no_vacuity_gate,4,0.7884841363102233,0.6508244422890398,0.688911704312115,0.981742472773863,0.9217032967032966,0.912109375,7.052924617897166,3.1121191546225595,0.4013214242016396
ablation_no_vacuity_gate,5,0.8139880952380952,0.6863237139272271,0.7493150684931507,0.9800950683303624,0.8908794788273615,0.93896484375,7.942954206007426,2.611775044796626,0.5111376724980984
ablation_no_vacuity_gate,6,0.8179631114675221,0.6919945725915875,0.7044198895027625,0.9961447212336892,0.9751434034416826,0.944580078125,9.471269795094159,2.5240382191774104,0.5803108808290155
ablation_no_vacuity_gate,7,0.5082508250825083,0.3407079646017699,0.6794117647058824,0.9100106496272631,0.40597539543058,0.890869140625,11.146595169921028,5.478028780417878,0.17808219178082194
ablation_no_vacuity_gate,8,0.8681672025723473,0.7670454545454546,0.9024064171122995,0.9605734767025089,0.8364312267657993,0.949951171875,4.0,1.886158517723929,0.5950877192982456
ablation_no_vacuity_gate,9,0.8144796380090498,0.6870229007633588,0.9608540925266904,0.9706422018348624,0.7068062827225131,0.969970703125,4.0,1.623677632051084,0.6518518518518519
ablation_no_vacuity_gate,10,0.8085901027077498,0.6786833855799373,0.9752252252252253,0.9468784227820373,0.6905901116427432,0.949951171875,5.0990195135927845,2.2876663766255456,0.5366492146596858
ablation_no_vacuity_gate,11,0.827020202020202,0.7050592034445641,0.7150655021834061,0.9959119496855345,0.9805389221556886,0.93310546875,7.624700750587494,2.326416197151418,0.6333062310592062
ablation_no_vacuity_gate,12,0.8842297174111212,0.7924836601307189,0.8369283865401208,0.9778685733741913,0.9371980676328503,0.93798828125,7.810249675906654,1.8783406194784977,0.8039110079960227
ablation_no_vacuity_gate,13,0.9439918533604889,0.8939247830279653,0.9686520376175548,0.9745141764893278,0.9205561072492552,0.97314453125,2.769191210021537,0.9774252132659653,0.9212772684160607
ablation_no_vacuity_gate,14,0.6028309741881765,0.43146603098927294,0.7342799188640974,0.9039689147932278,0.5112994350282486,0.883544921875,9.909545442950499,4.398815019071952,0.2793296089385475
ablation_no_vacuity_gate,15,0.7592480291085506,0.6119257086999023,0.7287543655413271,0.9493358047574915,0.7924050632911392,0.903076171875,8.541067626763581,3.2771821359761346,0.48514851485148514
ablation_no_vacuity_gate,16,0.8511749347258486,0.740909090909091,0.9760479041916168,0.9865105624840926,0.7546296296296297,0.986083984375,2.8284271247461903,1.1241515422511374,0.8625766871165643
ablation_no_vacuity_gate,17,0.9728033472803347,0.9470468431771895,0.9851694915254238,0.9879441624365483,0.9607438016528925,0.9873046875,1.0,0.48529405548409066,1.0
ablation_no_vacuity_gate,18,0.8802816901408451,0.7861635220125787,0.9765625,0.9838541666666667,0.8012820512820513,0.9833984375,2.23606797749979,1.0842912024639006,0.9265850945494994
ablation_no_vacuity_gate,19,0.864321608040201,0.7610619469026548,0.9942196531791907,0.9717333333333333,0.7644444444444445,0.9736328125,3.605551275463989,1.4276799874110064,0.8166761850371218
ablation_no_vacuity_gate,20,0.7770961145194274,0.6354515050167224,0.9382716049382716,0.947710647520997,0.6631762652705061,0.94677734375,8.94427190999916,2.631566311139878,0.5644171779141104
ablation_no_vacuity_gate,21,0.766798418972332,0.6217948717948718,0.9107981220657277,0.9745042492917847,0.6621160409556314,0.97119140625,4.47213595499958,1.7833791714605471,0.6851851851851851
ablation_no_vacuity_gate,22,0.684596577017115,0.5204460966542751,0.5588822355289421,0.9760827407886231,0.8832807570977917,0.8740234375,8.841687917112196,4.21257197287347,0.284077892325315
ablation_no_vacuity_gate,23,0.9356508875739645,0.8790826963168867,0.9226841721371262,0.9750458715596331,0.9489872468117029,0.95751953125,4.242640687119285,1.2282385252541037,0.8424908424908425
ablation_no_vacuity_gate,24,0.9289473684210526,0.8673218673218673,0.9289473684210526,0.9927341227125942,0.9289473684210526,0.98681640625,1.4142135623730951,0.7164230920861797,1.0
ablation_no_vacuity_gate,25,0.44157242864835755,0.2833448514167243,0.33442088091353994,0.9229965156794425,0.6497622820919176,0.746826171875,23.231965938324375,8.785307369597916,0.20099392600773053
ablation_no_vacuity_gate,26,0.7925233644859813,0.6563467492260062,0.9394387001477105,0.9145949107926294,0.6853448275862069,0.918701171875,9.0,3.0003315850632815,0.5178571428571429
ablation_no_vacuity_gate,27,0.8346860316104229,0.716275659824047,0.7340345604808415,0.9880650994575045,0.9673267326732673,0.905517578125,6.082762530298219,2.882165856097573,0.4225352112676056
ablation_no_vacuity_gate,28,0.8641975308641975,0.7608695652173914,0.855327468230694,0.9586723071916694,0.873253493013972,0.932861328125,6.985410196624965,2.2304876400662472,0.6216216216216216
ablation_no_vacuity_gate,29,0.8500282965478212,0.7391732283464567,0.93875,0.9344660194174758,0.7766287487073423,0.935302734375,4.123105625617661,2.2487539767969795,0.5337492418334632
ablation_no_vacuity_gate,30,0.7506172839506173,0.6007905138339921,0.8328767123287671,0.9162210338680927,0.6831460674157304,0.9013671875,8.080653098592226,3.4328767694295803,0.36709384042992976
ablation_no_vacuity_gate,31,0.48478488982161594,0.31994459833795014,0.47433264887063653,0.9348850096979773,0.4957081545064378,0.880126953125,11.268905632895923,5.635330495173678,0.22222222222222218
ablation_no_vacuity_gate,32,0.8786853552440793,0.7836206896551724,0.7856525496974935,0.9989792446410344,0.9967105263157895,0.938720703125,5.0,1.953883466771548,0.6182040317654246
ablation_no_vacuity_gate,33,0.8895820336868372,0.801123595505618,0.9916550764951322,0.9493633402428191,0.8065610859728507,0.956787109375,2.8284271247461903,1.6648650270424918,0.7923844061650046
ablation_no_vacuity_gate,34,0.6817733990147783,0.5171898355754858,1.0,0.9138666666666667,0.5171898355754858,0.921142578125,7.615773105863909,3.796195577879261,0.25503355704697983
ablation_no_vacuity_gate,35,0.4926739926739927,0.3268529769137303,0.7598870056497176,0.8746659540352753,0.36449864498644985,0.86474609375,17.99295323798954,5.8144288734965395,0.34408602150537637
ablation_no_vacuity_gate,36,0.7511627906976744,0.6014897579143389,1.0,0.943281208587331,0.6014897579143389,0.94775390625,8.18465843842649,2.8456171699083987,0.4938837920489297
ablation_no_vacuity_gate,37,0.6407960199004975,0.47144948755490484,0.8429319371727748,0.9189553042541734,0.5168539325842697,0.911865234375,11.503948009381862,4.495953693366662,0.41942945258288356
ablation_no_vacuity_gate,38,0.7842907385697538,0.6451301832208293,0.75,0.9547440699126092,0.8218673218673219,0.91015625,7.211102550927978,3.017567865285532,0.5048543689320388
ablation_no_vacuity_gate,39,0.9010782934833568,0.8199658703071673,0.8580357142857142,0.9825268817204301,0.9486673247778875,0.948486328125,5.0,1.6803189375766532,0.661888133308828
ablation_no_vacuity_gate,40,0.8535489667565139,0.7445141065830722,0.8037225042301185,0.9865905848787446,0.9099616858237548,0.960205078125,4.322964030877387,1.4645067858129348,0.7751277683134583
ablation_no_vacuity_gate,41,0.8183908045977012,0.6926070038910506,1.0,0.979836651352731,0.6926070038910506,0.980712890625,3.0,1.408751009645278,0.7935656836461126
ablation_no_vacuity_gate,42,0.7475409836065574,0.5968586387434555,0.8382352941176471,0.899390243902439,0.6745562130177515,0.88720703125,9.899494936611665,4.033864467698257,0.34517766497461927
ablation_no_vacuity_gate,43,0.6336917562724015,0.46379853095487933,0.5456790123456791,0.9564820450395618,0.7555555555555555,0.875244140625,12.17373117162389,4.947061601904358,0.2883010829043139
ablation_no_vacuity_gate,44,0.8439256376999568,0.7299925205684368,0.768503937007874,0.9762915782024062,0.9357622243528284,0.911865234375,6.766563145999492,2.6493230022517027,0.4803312629399586
ablation_no_vacuity_gate,45,0.4276315789473684,0.2719665271966527,1.0,0.8661881568828506,0.2719665271966527,0.87255859375,14.800099601198392,6.514285547709281,0.09486166007905138
ablation_no_vacuity_gate,46,0.8445229681978799,0.7308868501529052,0.7445482866043613,0.994254707947654,0.9755102040816327,0.935546875,5.656854249492381,2.26837880571132,0.5444488344527856
ablation_no_vacuity_gate,47,0.9199522102747909,0.8517699115044248,1.0,0.9819455672325519,0.8517699115044248,0.983642578125,1.4142135623730951,0.8861290147997742,1.0
