run,image_index,dice,iou,sensitivity,specificity,precision,accuracy,hd95,assd,boundary_f1
ablation_no_dissonance_temper,0,0.574468085106383,0.40298507462686567,0.967741935483871,0.8975635315692952,0.4084720121028744,0.90234375,11.40175425099138,5.048446013823271,0.3882896764252696
ablation_no_dissonance_temper,1,0.7923076923076923,0.6560509554140127,1.0,0.9722365038560411,0.6560509554140127,0.9736328125,10.32588007116971,2.4175610615044034,0.7444029850746269
ablation_no_dissonance_temper,2,0.5735512630014858,0.40208333333333335,1.0,0.9264668203945683,0.40208333333333335,0.929931640625,10.639471213417515,4.129159617842485,0.18333333333333335
ablation_no_dissonance_temper,3,0.8804891606448026,0.7864945382323734,0.8878923766816144,0.964107365792759,0.8732083792723263,0.947509765625,9.988530291951882,2.4777849047456324,0.6818506261761079
ablation_no_dissonance_temper,4,0.6912621359223301,0.5281899109792285,0.5482546201232033,0.9881486226777707,0.9352014010507881,0.883544921875,9.348206462151115,4.367239455621634,0.23879188296366213
ablation_no_dissonance_temper,5,0.7577282530553558,0.6099537037037037,0.7219178082191781,0.960190136660725,0.7972768532526475,0.917724609375,8.246211251235321,3.4182013175212993,0.31323678006062644
ablation_no_dissonance_temper,6,0.8003286770747741,0.6671232876712329,0.6726519337016574,0.998220640569395,0.9878296146044625,0.940673828125,9.337484628412927,2.687023908812276,0.5807566737084694
ablation_no_dissonance_temper,7,0.495092693565976,0.3289855072463768,0.6676470588235294,0.9068157614483493,0.3934142114384749,0.886962890625,10.704749018197578,5.13006143035988,0.19030357951971003
ablation_no_dissonance_temper,8,0.8733459357277883,0.7751677852348994,0.9264705882352942,0.9563918757467145,0.8259833134684148,0.950927734375,5.0,1.8406067868961118,0.6458923512747875
ablation_no_dissonance_temper,9,0.7855072463768116,0.6467780429594272,0.9644128113879004,0.963826998689384,0.6625916870415648,0.9638671875,4.0,1.9695347134079417,0.6295973505316368
ablation_no_dissonance_temper,10,0.7764915405164737,0.6346433770014556,0.9819819819819819,0.933461117196057,0.6421207658321061,0.938720703125,5.0,2.6806718624121064,0.42071769489128513
ablation_no_dissonance_temper,11,0.8084561178731582,0.678494623655914,0.6888646288209607,0.9955974842767296,0.9782945736434109,0.927001953125,6.628505426185209,2.4241628319387503,0.6062222222222223
ablation_no_dissonance_temper,12,0.892745883400089,0.8062700964630225,0.8654012079378774,0.9710589036431733,0.921875,0.941162109375,7.0710678118654755,1.7758926624166946,0.7932102589518027
ablation_no_dissonance_temper,13,0.9362549800796812,0.8801498127340824,0.9822361546499477,0.9646384198789424,0.8943862987630827,0.96875,2.8284271247461903,1.1072054821125634,0.8502415458937197
ablation_no_dissonance_temper,14,0.49335863377609107,0.327455919395466,0.5273833671399595,0.9164585067998889,0.46345811051693403,0.86962890625,9.643462344106377,4.893153658066115,0.18038331454340473
ablation_no_dissonance_temper,15,0.7978208232445521,0.6636455186304129,0.7671711292200233,0.9586036453506332,0.8310214375788146,0.91845703125,7.654668419872456,2.945034252091734,0.467005076142132
