run,image_index,dice,iou,sensitivity,specificity,precision,accuracy,hd95,assd,boundary_f1
fixmatch,0,0.7226666666666667,0.5657620041753654,0.9713261648745519,0.9476028294472099,0.5753715498938429,0.94921875,8.0,3.040987652370329,0.5391638635271504
fixmatch,1,0.7587476979742173,0.6112759643916914,1.0,0.9663239074550128,0.6112759643916914,0.968017578125,4.242640687119285,2.128949374514995,0.6462072958888245
fixmatch,2,0.5522174535050072,0.3814229249011858,1.0,0.9198052779912887,0.3814229249011858,0.923583984375,8.48528137423857,4.42635395125192,0.06666666666666668
fixmatch,3,0.8442622950819673,0.7304964539007093,0.8082959641255605,0.9703495630461922,0.883578431372549,0.93505859375,10.062163347114192,2.7611257628505057,0.6927508401344216
fixmatch,4,0.8213272830402722,0.6968238691049086,0.7433264887063655,0.9791800128122998,0.917617237008872,0.923095703125,5.830951894845301,2.6933689641526444,0.48780487804878053
fixmatch,5,0.7769571639586411,0.6352657004830918,0.7205479452054795,0.9708853238265003,0.842948717948718,0.92626953125,6.708203932499369,2.9277975380220105,0.5474227827986891
fixmatch,6,0.8302180685358256,0.7097203728362184,0.7361878453038674,0.9919928825622776,0.9517857142857142,0.94677734375,9.019384798348096,2.3826448553105237,0.6082474226804124
fixmatch,7,0.4502487562189055,0.29052969502407705,0.5323529411764706,0.924653887113951,0.3900862068965517,0.89208984375,11.772078844334155,4.969510714415125,0.1910828025477707
fixmatch,8,0.8359580052493438,0.7181510710259301,0.8516042780748663,0.9584826762246117,0.8208762886597938,0.93896484375,5.764083831688678,2.3548898081529366,0.5434782608695652
fixmatch,9,0.7424042272126816,0.5903361344537815,1.0,0.9488859764089121,0.5903361344537815,0.952392578125,4.47213595499958,2.4230134507517547,0.4309701492537314
fixmatch,10,0.8543111992071358,0.745674740484429,0.9707207207207207,0.9633077765607886,0.7628318584070797,0.964111328125,4.47213595499958,1.6264663509349038,0.6988778054862843
fixmatch,11,0.8025806451612904,0.6702586206896551,0.6790393013100436,0.9962264150943396,0.9810725552050473,0.92529296875,7.042640687119285,2.5953653126642537,0.5428401259252957
fixmatch,12,0.8791106993978693,0.784297520661157,0.818809318377912,0.982635342185904,0.949,0.936279296875,10.449798474101753,2.4588215155413975,0.7114289277844759
